URL,Title,Image,Price,CPU,GPU,Memory,Storage,Type,Usage
https://www.newegg.com/royal-blue-asus-zenbook-15-ux534ftc-nh77-gaming-entertainment/p/N82E16834235471,"ASUS ZenBook 15 Ultra-Slim Laptop 15.6"" 4K UHD NanoEdge Bezel, Intel Core i7-10510U, 16GB RAM, 1TB PCIe SSD, GeForce GTX 1650 Max-Q, Innovative ScreenPad 2.0, Windows 10 Pro, UX534FTC-NH77, Royal Blue",https://c1.neweggimages.com/ProductImage/34-235-471-V19.jpg,"1,449.99",Intel Core i7 10th Gen,NVIDIA GeForce GTX 1650 Max-Q,16 GB LPDDR3,1 TB PCIe,Laptop,Business
https://www.newegg.com/indie-black-light-grey-asus-vivobook-s-s433ea-dh51-mainstream/p/N82E16834235589,"ASUS VivoBook S14 S433 Thin and Light Laptop, 14"" FHD Display, Intel Core i5-1135G7 CPU, 8 GB DDR4 RAM, 512 GB PCIe SSD, Thunderbolt 3, Wi-Fi 6, Windows 10 Home, Indie Black, S433EA-DH51",https://c1.neweggimages.com/ProductImage/34-235-589-S05.jpg,699.99,Intel Core i5 11th Gen,Intel Iris Xe Graphics,8 GB,512 GB PCIe,Laptop,Business
https://www.newegg.com/celestial-blue-asus-zenbook-duo-ux581lv-xs94t-gaming-entertainment/p/N82E16834235489,"ASUS ZenBook Pro Duo UX581 Laptop, 15.6"" 4K UHD NanoEdge Touch Display, Intel Core i9-10980HK, 32GB RAM, 1TB PCIe SSD, GeForce RTX 2060, ScreenPad Plus, Windows 10 Pro, Celestial Blue, UX581LV-XS94T",https://c1.neweggimages.com/ProductImage/AMF7D200905O0ES1.jpg,"2,999.99",Intel Core i9 10th Gen,Windows 10 Pro 64-bit,1 TB PCIe,NVIDIA GeForce RTX 2060,Laptop,Business
https://www.newegg.com/dark-silver-jumper-ezbook-x3-premium-creating-designing/p/1TS-00CH-00002,"Jumper EZbook X3 Premium Laptop 13.3"" FHD Intel N3450 CPU 8 GB RAM,128 GB Win10 Ultrabook Notbook Silver",https://c1.neweggimages.com/ProductImage/1TS-00CH-00002-S01.jpg,363.99,Intel Celeron,Intel HD Graphics 500,8 GB,128 GB,Laptop,Business
https://www.newegg.com/platinum-gray-lenovo-ideapad-5-15iil05-81yk000xus-mainstream/p/2WC-000J-00F45,Lenovo IdeaPad 5-15IIL05 15.6" Laptop i7-1065G7 8GB 512GB SSD Windows 10 Home,https://c1.neweggimages.com/ProductImage/2WC-000J-00F45-S03.jpg,774.99,Intel Core i7 10th Gen,Intel Iris Plus Graphics,8 GB,512 GB PCIe,Laptop,Business
https://www.newegg.com/aluminum-silver-kuu-k1-workstation/p/1TS-00BK-00001,KUU-K1 15.6inch IPS Screen Metal Shell Laptop Intel Core i5-5257U Up to 3.1 GHz 8GB DDR3 RAM 256GB M.2 SSD Windows 10 Notebook Computer with Fingerprint Unlock and Backlit Keyboard,https://c1.neweggimages.com/ProductImage/1TS-00BK-00001-S01.jpg,399.99,Intel Core i5,Intel Iris Graphics 6100,8 GB,256 GB,Laptop,Business
https://www.newegg.com/dark-ash-silver-hp-255-g7-everyday-value/p/1B4-001S-08ZG2,HP Laptop 255 G7 (3C670UT#ABA) AMD A4-Series A4-9125 (2.30 GHz) 4 GB Memory 128 GB SSD AMD Radeon R3 Series 15.6" Windows 10 Home 64-bit,https://c1.neweggimages.com/ProductImage/1B4-001S-08ZG2-S01.jpg,369.99,AMD A4-Series,AMD Radeon R3 Series,4 GB,128 GB,Laptop,Business
https://www.newegg.com/silver-asus-vivobook-s512fl-ph55-mainstream/p/N82E16834235284,"ASUS VivoBook S15 S512 Thin and Light Laptop, 15.6"" FHD, Intel Core i5-10210U CPU, 8 GB RAM, 512 GB PCIe NVMe SSD, NVIDIA GeForce MX250, FingerPrint, Windows 10 Home, S512FL-PH55, Silver-Metal",https://c1.neweggimages.com/ProductImage/34-235-284-V16.jpg,749.99,Intel Core i5 10th Gen,NVIDIA GeForce MX250,8 GB,512 GB PCIe,Laptop,Business
https://www.newegg.com/ice-blue-lenovo-ideapad-1-82gw001hus-everyday-value/p/N82E16834645104,Lenovo Laptop IdeaPad 1 82GW001HUS AMD Athlon Silver 3050E 4 GB Memory 64 GB SSD 14.0" Windows 10 S,https://c1.neweggimages.com/ProductImage/34-645-104-V01.jpg,249.99,,,,,Laptop,Business
https://www.newegg.com/steel-gray-acer-swift-3-sf314-57-59ey-mainstream/p/N82E16834316877,Acer Laptop Swift 3 SF314-57-59EY Intel Core i5 10th Gen 1035G1 (1.00 GHz) 8 GB LPDDR4 Memory 256 GB SSD Intel UHD Graphics 14.0" Windows 10 Home 64-bit,https://c1.neweggimages.com/ProductImage/34-316-877-S05.jpg,647.99,Intel Core i5 10th Gen,Intel UHD Graphics,8 GB LPDDR4,256 GB,Laptop,Business
