URL,Title,Image,Price,CPU,GPU,Memory,Storage,Type,Usage
https://www.newegg.com/abs-computer-technologies-ala220/p/N82E16883102991,ABS Master Gaming PC - Ryzen 5 3600X - GeForce RTX 2060 - 16GB DDR4 3000MHz - 512GB SSD,https://c1.neweggimages.com/ProductImage/83-102-991-01.jpg,999.99,Ryzen 5 3rd Gen,NVIDIA GeForce RTX 2060,16 GB DDR4,512 GB,Desktop,Gaming
https://www.newegg.com/abs-computer-technologies-ala209-rogue-se/p/N82E16883102980R,ABS Rogue SE - Ryzen 5 3600 - GeForce GTX 1660 Super - 8GB DDR4 - 512GB SSD - Gaming Desktop PC,https://c1.neweggimages.com/ProductImage/83-102-980-01.jpg,799.99,,,,,Desktop,Gaming
https://www.newegg.com/abs-ali410-creator-station/p/N82E16883102968R,ABS Creator Station - Intel i7-9700k - RTX 2080 Super - 32GB RGB DDR4 - 1TB NVMe SSD - Desktop PC,https://c1.neweggimages.com/ProductImage/83-102-968-12.jpg,"2,124.99",,,,,Desktop,Gaming
https://www.newegg.com/abs-ali467/p/N82E16883360052,ABS Challenger Gaming PC - Intel i5 10400 - GeForce GTX 1660 - 16GB DDR4 3000MHz - 512GB SSD,https://c1.neweggimages.com/ProductImage/83-360-052-07.jpg,799.99,,,,,Desktop,Gaming
https://www.newegg.com/p/1VK-0001-3F3D0,Dell XPS 8500 Tower  i7 3770 8GB 500G HD Wifi  Win 10 480Watt PSU,https://c1.neweggimages.com/ProductImage/A4RR_131993149933105761sruT3h5QBQ.jpg,409.00,No Screen,"April 09, 2019",,,Desktop,Gaming
https://www.newegg.com/p/3D5-000D-00080,"HP Gaming PC - Core i7, NVIDIA GTX 1650, SSD, Win10,",https://c1.neweggimages.com/ProductImage/AHT3S200821HJIXm.jpg,712.99,16 GB DDR3,120 GB,No Screen,"June 21, 2019",Desktop,Gaming
https://www.newegg.com/hp-pavilion-690-0073w-gaming-entertainment/p/1VK-001E-3X7Z2,"HP Pavilion Gaming Desktop Tower, Intel Core i5-9400F, NVIDIA GeForce GTX 1660Ti, 8GB RAM, 256GB SSD, Win 10 Home Black",https://c1.neweggimages.com/ProductImage/AMRPS200306m8oST.jpg,"1,136.99",NVIDIA GeForce GTX 1660 Ti,8 GB DDR4,256 GB,No Screen,Desktop,Gaming
https://www.newegg.com/p/1VK-0003-1D7S1,Lenovo Legion T730-28ICO Core i5-8400 8GB RAM 1TB HDD GeForce GTX1060 Windows 10 Home 90JF0024US,https://c1.neweggimages.com/ProductImage/V2G7S2011090WQK6.jpg,"1,135.95",NVIDIA GeForce GTX 1060,8 GB DDR4,1 TB,No Screen,Desktop,Gaming
https://www.newegg.com/clx-tgmsetrth9a08br-gaming-entertainment/p/1VK-01TP-00068,"CLX SET VR-Ready Gaming Desktop w/ Intel Core i7 9700KF 8-Core 3.6GHz Processor, 16GB DDR4 Memory, NVIDIA GeForce RTX 2080 SUPER 8GB Graphics, 1TB M.2 NVMe SSD, 3TB HDD, WiFi, Windows 10 Home 64-bit",https://c1.neweggimages.com/ProductImage/ABFS_1_201911131594577273.jpg,"2,142.99",Intel Core i7 9th Gen,NVIDIA GeForce RTX 2080 SUPER,16 GB DDR4,1 TB,Desktop,Gaming
https://www.newegg.com/acer-veriton-es2730g-gaming-entertainment/p/N82E16883101783,Acer Desktop Computer Veriton ES2730G Intel Core i3 8th Gen 8100 (3.60 GHz) 4 GB DDR4 1 TB HDD Intel UHD Graphics 630 Windows 10 Pro,https://c1.neweggimages.com/ProductImage/83-101-783-S01.jpg,592.20,,,,,Desktop,Gaming
https://www.newegg.com/p/3D5-000F-00084,ASUS GT501 TUF 8-Core AMD RYZEN 7 3700X 3.6GHz - X570 TUF Chipset - 2TB 7200RPM + 1TB SSD - 32GB TUF DDR4 3000 - Nvidia GeForce RTX 2080 TI 11GB GDDR6 - 700W TUF - Windows 10 Gaming Desktop,https://c1.neweggimages.com/ProductImage/AC3J_1_201903201408483199.jpg,"4,300.00",Ryzen 7,NVIDIA GeForce RTX 2080 Ti,32 GB DDR4,1 TB,Desktop,Gaming
https://www.newegg.com/abs-ali463/p/N82E16883360048,ABS Gladiator Gaming PC - Ryzen 7 3700X - GeForce RTX 3070 - 16GB DDR4 3000MHz - 1TB SSD,https://c1.neweggimages.com/ProductImage/83-360-048-09.jpg,"1,599.99",Ryzen 7 3rd Gen,NVIDIA GeForce RTX 3070,16 GB DDR4,1 TB,Desktop,Gaming
https://www.newegg.com/abs-ali454/p/N82E16883360038,ABS Gladiator Gaming PC - Intel i7 10700K - GeForce RTX 3070 8GB - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD,https://c1.neweggimages.com/ProductImage/83-360-038-01.jpg,"1,899.99",Intel Core i7 10th Gen,NVIDIA GeForce RTX 3070,16 GB DDR4,1 TB,Desktop,Gaming
https://www.newegg.com/abs-computer-technologies-ali431/p/N82E16883360010,ABS Challenger Gaming PC - Intel i3-10100 - GeForce GTX 1660 Super - 8GB DDR4 - 512GB SSD,https://c1.neweggimages.com/ProductImage/83-360-010-06.jpg,729.99,Intel Core i3 10th Gen,NVIDIA GeForce GTX 1660 SUPER,8 GB DDR4,512 GB,Desktop,Gaming
https://www.newegg.com/abs-computer-technologies-ali432/p/N82E16883360011,ABS Master Gaming PC - Intel i7 10700 - GeForce RTX 2060 SUPER - 16GB Memory - 512GB SSD,https://c1.neweggimages.com/ProductImage/83-360-011-07.jpg,"1,199.99",Intel Core i7 10th Gen,NVIDIA GeForce RTX 2060 SUPER,16 GB DDR4,512 GB,Desktop,Gaming
https://www.newegg.com/p/3D5-000F-000A0,ASUS GT501 TUF 8-Core AMD RYZEN 7 3700X 3.6GHz - X570 TUF Chipset - 2TB 7200RPM + 1TB SSD - 64GB TUF DDR4 3000 - Nvidia GeForce RTX 2080 TI 11GB GDDR6 - 700W TUF - Windows 10 Gaming Desktop,https://c1.neweggimages.com/ProductImage/AC3J_1_201903201408483199.jpg,"4,550.00",Ryzen 7,NVIDIA GeForce RTX 2080 Ti,64 GB DDR4,1 TB,Desktop,Gaming
https://www.newegg.com/p/3D5-000F-00093,ASUS GT501 TUF 8-Core AMD RYZEN 7 3700X 3.6GHz - X570 TUF Chipset - 2TB 7200RPM + 240GB SSD - 64GB TUF DDR4 3000 - Nvidia GeForce RTX 2080 TI 11GB GDDR6 - 700W TUF - Windows 10 Gaming Desktop,https://c1.neweggimages.com/ProductImage/AC3J_1_201903201408483199.jpg,"4,475.00",Ryzen 7,NVIDIA GeForce RTX 2080 Ti,64 GB DDR4,240 GB,Desktop,Gaming
https://www.newegg.com/omen-hp-omen-880-030-gaming-entertainment/p/1VK-001E-40TR0,"HP OMEN HP OMEN 880-030 Tower 16GB 2TB AMD Ryzen 7 1700 X8 3GHz Win10, Black",https://c1.neweggimages.com/ProductImage/V11H_1_201904021038846160.jpg,"2,177.52",16 GB DDR4,SATA,SuperMulti-DVD Burner,SD|SDHC|SDXC,Desktop,Gaming
https://www.newegg.com/ideacentre-510a-15icb-gaming-entertainment/p/1VK-0003-1CZ20,"Lenovo IdeaCentre 510A-15ICB 8GB 1TB Intel Core i5-8400 X6 2.8GHz Win10, Iron Grey",https://c1.neweggimages.com/ProductImage/A9SKD200714OYLHA.jpg,389.99,8 GB DDR4,SATA,SuperMulti-DVD Burner,SDXC,Desktop,Gaming
https://www.newegg.com/p/3D5-000F-00097,ASUS GT501 TUF 8-Core AMD RYZEN 7 3700X 3.6GHz - X570 TUF Chipset - 2TB 7200RPM + 500GB SSD - 64GB TUF DDR4 3000 - Nvidia GeForce RTX 2080 TI 11GB GDDR6 - 700W TUF - Windows 10 Gaming Desktop,https://c1.neweggimages.com/ProductImage/AC3J_1_201903201408483199.jpg,"4,525.00",Ryzen 7,NVIDIA GeForce RTX 2080 Ti,64 GB DDR4,500 GB,Desktop,Gaming
https://www.newegg.com/p/3D5-000F-00081,ASUS GT501 TUF 8-Core AMD RYZEN 7 3700X 3.6GHz - X570 TUF Chipset - 2TB 7200RPM + 500GB SSD - 32GB TUF DDR4 3000 - Nvidia GeForce RTX 2080 TI 11GB GDDR6 - 700W TUF - Windows 10 Gaming Desktop,https://c1.neweggimages.com/ProductImage/AC3J_1_201903201408483199.jpg,"4,275.00",Ryzen 7,NVIDIA GeForce RTX 2080 Ti,32 GB DDR4,500 GB,Desktop,Gaming
