URL,Title,Image,Price,CPU,GPU,Memory,Storage,Type,Usage
https://www.newegg.com/black-msi-gl-series-gl65-leopard-10sfsk-493-gaming-entertainment/p/N82E16834155641,"MSI GL65 Leopard 10SFSK-493 - 15.6"" 144 Hz - Intel Core i7-10750H - GeForce RTX 2070 SUPER - 16 GB DDR4 - 512 GB SSD + 1 TB HDD - Windows 10 Home - Gaming Laptop",https://c1.neweggimages.com/ProductImage/34-155-641-V18.jpg,"1,599.00",Intel Core i7 10th Gen,NVIDIA GeForce RTX 2070 SUPER,16 GB,512 GB NVMe,Laptop,Gaming
https://www.newegg.com/p/N82E16834233307,"GIGABYTE AERO 15 OLED YB-8US5450SP 15.6"" 4K/UHD Intel Core i7 10th Gen 10875H (2.30 GHz) NVIDIA GeForce RTX 2080 Super Max-Q 32 GB Memory 1 TB SSD Windows 10 Pro 64-bit Gaming Laptop",https://c1.neweggimages.com/ProductImage/34-233-307-V21.jpg,"2,699.00",Intel Core i7 10th Gen,NVIDIA GeForce RTX 2080 SUPER Max-Q,32 GB,1 TB,Laptop,Gaming
https://www.newegg.com/obsidian-black-acer-nitro-5-an515-54-70kk-gaming-entertainment/p/N82E16834316917,"Acer Nitro 5 - 15.6"" 144 Hz - Intel Core i7-9750H - GeForce RTX 2060 - 16 GB Memory - 512 GB SSD - Windows 10 Home - Gaming Laptop (AN515-54-70KK)",https://c1.neweggimages.com/ProductImage/34-316-917-V31.jpg,"1,129.00",Intel Core i7 9th Gen,512 GB PCIe,No,16 GB,Laptop,Gaming
https://www.newegg.com/rog-zephyrus-metallic-black-asus-rog-zephrus-s-gx701lv-ds76-gaming-entertainment/p/N82E16834235433,"ASUS ROG Zephyrus S17 - 17.3"" 144 Hz - GeForce RTX 2060 - Intel Core i7-10750H - 16 GB DDR4 - 1 TB PCIe SSD - Per-Key RGB - Win10 Pro - Gaming Laptop (GX701LV-DS76)",https://c1.neweggimages.com/ProductImage/34-235-433-01.jpg,"1,999.99",Intel Core i7 10th Gen,NVIDIA GeForce RTX 2060,16 GB,1 TB,Laptop,Gaming
https://www.newegg.com/p/2WC-000C-017D8,"MSI GF65 THIN 9SEXR-250 Gaming and Entertainment Laptop (Intel i7-9750H 6-Core, 16GB RAM, 2TB m.2 SATA SSD, 15.6"" Full HD (1920x1080), NVIDIA RTX 2060, Wifi, Bluetooth, Webcam, 2xUSB 3.1, Win 10 Home)",https://c1.neweggimages.com/ProductImage/V2X1_1_202004011343649206.jpg,"1,799.00",Intel Core i7 9th Gen,2 TB,No Optical Drive,16 GB,Laptop,Gaming
https://www.newegg.com/rog-strix-black-metal-asus-rog-strix-scar-17-g732lws-ds76-gaming-entertainment/p/N82E16834235460,"ASUS ROG Strix Scar 17 - 17.3"" 300Hz - GeForce RTX 2070 Super - Intel Core i7-10875H - 16GB DDR4 - 1TB SSD - Per-Key RGB KB - Windows 10 - Gaming Laptop (G732LWS-DS76)",https://c1.neweggimages.com/ProductImage/34-235-460-V23.jpg,"2,094.99",Intel Core i7 10th Gen,NVIDIA GeForce RTX 2070 SUPER,16 GB,1 TB,Laptop,Gaming
https://www.newegg.com/abyssal-black-acer-predator-triton-300-pt315-52-7337-gaming-entertainment/p/N82E16834316922,"Acer Predator Triton 300 - 15.6"" 144 Hz - Intel Core i7-10750H - GeForce RTX 2070 Max-Q - 32 GB DDR4 - 1 TB SSD - Windows 10 Home - Gaming Laptop (PT315-52-7337)",https://c1.neweggimages.com/ProductImage/34-316-922-V01.jpg,"1,699.99",Intel Core i7 10th Gen,1 TB,No,32 GB,Laptop,Gaming
https://www.newegg.com/p/N82E16834725118,"Gigabyte Aorus 15P - 15.6"" 144 Hz - Intel Core i7-10750H - GeForce RTX 2070 Max-Q - 16 GB DDR4 - 512 GB SSD - Windows 10 Home - Gaming Laptop (Aorus 15P WB-7US1130SH)",https://c1.neweggimages.com/ProductImage/34-725-118-V19.jpg,"1,299.00",Intel Core i7 10th Gen,NVIDIA GeForce RTX 2070 Max-Q,16 GB,512 GB PCIe,Laptop,Gaming
https://www.newegg.com/p/2WC-000M-001E9,"Covert Gamer MECH-15 G3 Ultra Performance 15.6"" Laptop with G-SYNC & Advanced Optimus Technology - Intel i7-10870H NVIDIA RTX 2070 Super Max-P 16GB RAM 1TB NVMe SSD - Gaming Notebook PC by Eluktronics",https://c1.neweggimages.com/ProductImage/2WC-000M-001E9-S01.jpg,"2,199.00",Intel Core i7 10th Gen,1 TB,No,16 GB,Laptop,Gaming
https://www.newegg.com/p/2WC-003C-00001,"Intel Whitebook Gaming Notebook, 15.6"" 144Hz FHD Display, Intel Core i7-9750H Upto 4.5GHz, 32GB RAM, 512GB NVMe SSD, NVIDIA GeForce GTX 1660 Ti, HDMI, Thunderbolt, Wi-Fi, Bluetooth, Windows 10 Pro",https://c1.neweggimages.com/ProductImage/2WC-003C-00001-S06.jpg,999.00,Intel Core i7 9th Gen,512 GB,10/100/1000Mbps,32 GB,Laptop,Gaming
https://www.newegg.com/p/2WC-000N-02C42,"ASUS TUF FX506LI Gaming and Entertainment Laptop (Intel i5-10300H 4-Core, 8GB RAM, 512GB PCIe SSD + 1TB  HDD, 15.6"" Full HD (1920x1080), NVIDIA GTX 1650 Ti, Wifi, Bluetooth, Webcam, Win 10 Home)",https://c1.neweggimages.com/ProductImage/A7ABD201026UW424.jpg,"1,119.00",512 GB,,,,Laptop,Gaming
